Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   0,  224, 1000,  204,    0
   0,  228, 1000,  220,    4
   8,  252, 1000,  240,   16
   4,  236, 1000,  228,    8
   0,  232, 1000,  208,    0
   0,  236, 1000,  220,    8
  12,  232, 1000,  224,    0
   0,  232, 1000,  220,    0
   0,  236, 1000,  220,    4
   0,  232, 1000,  220,    0
   0,  236, 1000,  204,    4
   0,  228, 1000,  216,    4
   8,  232, 1000,  212,    0
   0,  236, 1000,  204,    0
   0,  224, 1000,  208,    0
   0,  240, 1000,  220,    4
   0,  244, 1000,  208,    0
   4,  240, 1000,  224,    8
   4,  248, 1000,  224,    8
  12,  244, 1000,  228,    0
  20,  248, 1000,  232,    8
   8,  256, 1000,  228,    8
   8,  244, 1000,  224,   12
   4,  244, 1000,  232,   12
   8,  244, 1000,  232,   12
  16,  248, 1000,  228,    0
   4,  240, 1000,  228,    8
   4,  240, 1000,  224,    8
  16,  240, 1000,  232,    0
  24,  248, 1000,  236,   12
  12,  248, 1000,  236,   12
  16,  248, 1000,  236,    0
